WRN 2026-09-05T06:40:44.892 ui.13856   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:40:44.892 ui.13856   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:40:44.892 ui.13856   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:48:41.611 ui.14355   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:48:41.611 ui.14355   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:48:41.611 ui.14355   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:48:41.611 ui.14355   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:48:41.611 ui.14355   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:53:36.605 ui.14687   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:53:36.605 ui.14687   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:53:36.605 ui.14687   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:53:36.605 ui.14687   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:53:36.605 ui.14687   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:54:23.919 ui.15091   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:54:23.919 ui.15091   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:54:23.919 ui.15091   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:54:23.919 ui.15091   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:54:23.919 ui.15091   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:04:39.744 ui.16859   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:04:39.744 ui.16859   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T07:04:39.744 ui.16859   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T07:04:39.744 ui.16859   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T07:04:39.744 ui.16859   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T07:13:49.636 ui.20715   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T07:13:49.636 ui.20715   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
